class_name,count
Apple,942
Dessert,829
Cheese,374
Muffin,371
Cucumber,368
Pasta,227
Waffle,215
Pastry,213
Radish,199
Pancake,179
Bagel,165
Candle,161
Popcorn,147
Vegetable,140
Bread,137
Beer,129
Croissant,128
Dairy Product,126
Fruit,115
Pretzel,115
Shrimp,110
Cake,91
Seafood,84
Doughnut,62
Watermelon,62
Drink,61
Salad,49
French fries,46
Cookie,43
Hot dog,40
Tart,33
Ice cream,32
Sushi,32
Candy,31
Zucchini,31
Home appliance,28
Strawberry,27
Cat,27
Coconut,26
Tomato,24
Tableware,22
Pizza,20
Burrito,19
Lobster,19
Winter melon,17
Footwear,17
Hamburger,15
Shellfish,14
Carnivore,14
Grape,12
Squash (Plant),12
Submarine sandwich,12
Sandwich,12
Juice,11
Vehicle registration plate,10
Taco,10
Peach,10
Cocktail,10
Cart,10
Egg (Food),10
Platter,10
Coffee cup,9
Potato,9
Crab,8
Saucer,7
Tea,7
Coffee,6
Guacamole,6
Banana,6
Pear,6
Orange,5
Cantaloupe,4
Pineapple,4
Lemon,4
Broccoli,4
Fish,4
Bowl,4
Carrot,4
Cutting board,4
Spoon,3
Pomegranate,3
Centipede,3
Boat,3
Skull,3
Fork,3
Furniture,3
Bell pepper,3
Shelf,3
Kitchen utensil,3
Parking meter,3
Mixing bowl,3
Mug,3
